4711,0-4 years
4299,5-9 years
5392,10-19 years
10133,20-29 years
13748,30-39 years
10332,40-49 years
7556,50-59 years
2749,60-69 years
499,70-79 years
107,80-89 years
28,90-99 years
0,100 and over
